Time(ms),Temp(C),Pressure(hPa),Alt(m),FiltAlt(m),AccX(g),AccY(g),AccZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),AngleX(deg),AngleY(deg),AngleZ(deg),LM35Temp(C)
3969,19.62,1040.17,668.40,668.56,-0.01,0.01,0.97,3.45,-0.61,-1.74,7.99,-78.03,-6.72,20.02
4001,19.62,1040.17,668.40,668.53,-0.01,0.01,0.97,3.74,-0.79,-1.40,8.01,-78.18,-6.76,20.51
4034,19.62,1040.17,668.40,668.50,-0.00,0.00,0.97,3.66,0.11,-1.65,8.01,-78.31,-6.82,19.53
4065,19.62,1040.15,668.59,668.52,-0.02,0.01,0.97,3.71,-0.70,-1.28,8.03,-78.44,-6.86,20.51
4097,19.62,1040.15,668.59,668.53,-0.01,0.00,0.97,3.68,-0.04,-1.63,8.03,-78.56,-6.91,20.02
4129,19.62,1040.15,668.59,668.54,-0.00,0.00,0.97,3.95,-0.25,-0.90,8.04,-78.68,-6.94,21.00
4160,19.62,1040.15,668.57,668.55,-0.01,0.01,0.97,3.87,-0.36,-1.14,8.06,-78.81,-6.98,21.00
4194,19.62,1040.15,668.57,668.55,-0.01,0.01,0.97,3.58,-0.12,-1.65,8.07,-78.92,-7.03,21.00
4226,19.62,1040.15,668.57,668.55,-0.01,0.00,0.97,3.49,-0.61,-1.49,8.07,-79.05,-7.08,20.51
4258,19.62,1040.15,668.60,668.56,-0.02,0.01,0.97,3.62,-0.03,-1.43,8.08,-79.14,-7.12,21.00
4290,19.62,1040.15,668.60,668.57,-0.00,0.01,0.97,3.63,-0.21,-1.39,8.09,-79.26,-7.17,21.00
4321,19.62,1040.15,668.60,668.58,-0.01,0.01,0.97,3.62,-0.50,-1.28,8.10,-79.37,-7.21,19.53
4353,19.62,1040.16,668.52,668.57,-0.01,0.01,0.97,3.74,-0.61,-1.46,8.11,-79.49,-7.25,20.51
4387,19.62,1040.16,668.52,668.56,-0.00,0.01,0.97,3.51,-0.47,-1.66,8.13,-79.60,-7.31,21.48
4418,19.62,1040.16,668.52,668.55,-0.01,0.01,0.97,3.83,-0.27,-1.42,8.15,-79.70,-7.35,21.00
4449,19.61,1040.19,668.28,668.50,-0.01,0.01,0.97,3.68,-0.53,-1.61,8.16,-79.81,-7.40,20.51
4481,19.61,1040.19,668.28,668.45,-0.02,0.01,0.97,3.25,-0.27,-1.60,8.16,-79.89,-7.46,21.00
4513,19.61,1040.19,668.28,668.42,-0.01,0.02,0.98,3.62,-0.01,-1.69,8.18,-79.99,-7.51,20.51
4546,19.62,1040.15,668.56,668.45,-0.02,0.01,0.98,3.54,-0.47,-1.57,8.19,-80.08,-7.56,21.00
4577,19.62,1040.15,668.56,668.47,-0.00,0.01,0.97,3.43,0.20,-1.84,8.19,-80.16,-7.62,21.00
4609,19.62,1040.15,668.56,668.49,-0.02,0.01,0.97,3.49,-0.45,-1.48,8.19,-80.25,-7.67,21.00
4641,19.62,1040.15,668.55,668.50,-0.01,0.01,0.97,3.57,-0.06,-1.52,8.19,-80.32,-7.71,21.00
4672,19.62,1040.15,668.55,668.51,0.00,0.01,0.96,3.71,-0.25,-1.58,8.21,-80.42,-7.77,21.00
4704,19.62,1040.15,668.55,668.52,-0.01,0.01,0.96,3.46,-0.61,-1.48,8.21,-80.52,-7.81,21.00
4738,19.62,1040.15,668.63,668.54,-0.01,0.01,0.96,3.57,-0.30,-1.49,8.22,-80.60,-7.86,21.00
4770,19.62,1040.15,668.63,668.56,-0.01,0.01,0.97,3.39,-0.61,-1.71,8.23,-80.68,-7.92,20.51
4802,19.62,1040.15,668.63,668.58,-0.01,0.01,0.97,3.52,-0.38,-1.60,8.23,-80.76,-7.97,20.51
4833,19.62,1040.15,668.61,668.58,-0.01,0.01,0.97,3.51,-0.22,-1.72,8.23,-80.83,-8.02,19.53
4865,19.62,1040.15,668.61,668.59,-0.00,0.00,0.97,3.46,-0.54,-1.51,8.23,-80.92,-8.07,20.51
4897,19.62,1040.15,668.61,668.59,-0.01,0.01,0.97,3.43,-0.07,-1.72,8.23,-80.99,-8.12,21.00
4930,19.62,1040.15,668.62,668.60,-0.01,0.01,0.97,3.58,-0.79,-1.51,8.24,-81.07,-8.17,21.00
4961,19.62,1040.15,668.62,668.60,-0.02,0.01,0.97,3.51,-0.39,-1.81,8.24,-81.14,-8.23,20.02
